	name	mz	RT	HU_pos_001	HU_pos_007	HU_pos_013	HU_pos_022	HU_pos_040	HU_pos_050	HU_pos_060	HU_pos_081	HU_pos_086	HU_pos_116	HU_pos_124	HU_pos_140	HU_pos_145	HU_pos_162	HU_pos_183	HU_pos_188b	HU_pos_189b	HU_pos_189	HU_pos_192b	HU_pos_193b	HU_pos_204b	HU_pos_205b	HU_pos_213	HU_pos_214	HU_pos_224
719	M152T379	152.070609	378.9850792	1775840.892	3327002.872	35033164.16	21553930.65	3254525.1	4470879.257	48318029.75	123068130.1	5939989.273	24651574.11	2573793.484	1044895.605	22798033.34	56936077.23	4892051.125	501996.5332	21433330.73	14466164.83	2204815.246	80992457.19	55673450.96	5941499.398	326024.6812	21541851.67	0
720	M153T338	152.5337448	337.6007158	2178866.315	1715558.566	0	5171279.874	0	2321886.217	154847.2439	2243729.954	235646.5082	3899960.561	0	0	0	954493.2832	5864948.458	0	0	0	0	0	0	0	149564.2832	0	0
721	M153T380	152.5520518	379.8753765	187093.132	2210172.719	164224.5856	224829.2636	1459809.642	1639771.835	197154.1543	1305280.41	4305726.829	961059.1382	962766.8687	0	0	903247.0871	0	622113.7385	657845.9852	426638.5082	240534.7274	0	728664.8302	0	207607.9955	879659.107	0
722	M153T276	153.0376432	276.3376392	0	139871.5538	835207.4038	75818478.63	410089.8497	27646733.86	0	126069.9559	520193.7689	8267114.299	1544603.363	0	218106.8784	13466481.76	45837448.58	0	3083949.767	0	4496500.286	1927155.321	3584533.958	1558512.127	318703.6041	0	0
723	M153T257	153.0407612	256.9996637	13234740.55	53884819.51	10136107.93	25558935.22	11419676.26	11048094.75	22172541.67	38311037.46	44543954.03	8214414.169	16843153.63	9792706.057	15577388.16	47055415.44	3610078.286	1927080.41	14370976.68	1814178.045	10351135.74	11189097.78	32685657	12189462.37	0	2312933.396	0
724	M153T403	153.0545574	403.1110347	975460.122	3069725.255	2718505.291	4047715.863	3728552.15	4120808.543	2526871.194	3303253.893	9723470.638	758143.404	6182481.884	0	1636928.147	2952957.795	0	0	1680226.286	977229.4874	755023.8526	4271495.914	3239372.652	2328766.095	0	669119.7458	0
725	M153T198	153.0659864	197.5936642	437574965.7	731490212.2	170753509.6	381323812	588521942.7	448970305.9	651563462.4	652714556.2	1210396567	333674254.1	305478081.4	91422172.32	2506629033	3123491151	354808973.1	118259977.3	585038663.6	13891482.23	1515530160	533877973.5	294421602.5	676444077.4	36996727.97	88534973.05	1058359.781
726	M153T295	153.066048	294.8139012	1816483.913	18107721.42	5146416.723	311304396.2	11887848.95	181952842.4	24910462.43	6665081.443	29783121.36	39440648.11	39433859.76	8375950.955	7844476.254	214383969.5	194323049.7	11716607.39	27099128.18	5756285.515	184054657.6	43259874.3	82401764.17	97180037.79	6699825.707	6222521.195	437384.798
727	M153T332	153.0909794	332.3013393	339908.3084	2444617.739	3385955.981	1662948.728	2749383.574	2684240.928	912908.4664	1956890.1	1734072.987	199288.7592	3059792.694	0	3016161.462	1818925.322	657767.5894	0	3493001.4	1185433.575	2797934.201	1688504.537	2736398.316	3096864.471	0	142315.6536	0
728	M153T389	153.0910058	389.3977254	165627.8115	985861.0621	2953897.532	19436634.13	423346.0528	11230624.24	1411357.425	2574557.672	4442897.571	694592.5415	3896884.344	449643.2167	6021638.383	6191802.711	8076626.05	541181.3802	2042201.723	249722.9513	1474662.294	3639246.913	6767376.828	3893519.852	227764.3646	651274.3397	0
729	M153T337	153.1274866	337.2282452	4329065.108	80255702.71	152314848.5	6011129.85	5927429.768	12383013.36	5439167.731	9855096.148	12196136.41	10288241.14	11878624.99	2091018.458	17263876.92	34542911.47	5638113.248	3520777.731	9644002.781	5818554.372	14936899.06	2766332.927	21273153.41	6793087.29	18763140.82	4068445.458	0
730	M154T386	153.5598178	385.8192684	167463.8347	4740267.957	156431.3075	989453.436	1620644.839	1986222.911	517940.0238	1313063.28	2900378.312	297197.8182	418212.2026	186036.3665	0	1474626.934	629114.1318	2775075.886	232542.4038	0	399171.2941	0	0	200149.9977	303473.681	1448761.028	0
731	M154T55	154.0204718	54.76940332	1418075.766	3362303.143	0	0	862041.2192	0	1212810.983	1175414.773	2277666.621	1070632.762	1437457.414	0	3544339.02	2293676.929	1863365.242	0	0	0	2383511.654	5551824.004	0	4583240.582	0	1447313.205	0
732	M154T274	154.0498019	274.4064029	42811315.81	176945126	25320307.48	11933247.46	186995817.8	217352304.4	0	37659370.9	54017043.4	221767832.5	90599352.89	7389127.35	32811523.4	250724.5457	354448218.2	23107845.28	228765783.7	143871711.7	34477348.46	89646010.1	22994901.86	63299300.98	9709343.802	22775380.1	0
733	M154T274_2	154.0611298	273.6992914	84382158.2	142660727.7	52815706.72	147170100	103282292.8	144733188.7	235286725.1	159202733.8	312271410.5	47389290	256824051.4	72915328.11	221035867.9	292621236.1	46278855.68	21486930.72	134087507.8	91405525.03	70778931.95	74131722.55	236485366.3	119470729.1	34564492.03	43370179.9	0
734	M154T65	154.0620101	64.94455686	311786.5887	412769.9693	878274.5902	6250242.232	328213.5342	2281078.968	2067248.452	403710.7961	3184250.317	0	359376.4754	0	0	4919972.259	13121268.68	0	761177.6309	1613952.795	0	2024393.341	1763811.381	0	4522782.255	366418.0909	1386662.047
735	M154T198	154.0691255	197.8496308	6349141.621	24745858.45	4744124.723	8931235.994	6050398.624	4421600.703	9849856.377	11557845.27	51522832.2	2257599.923	8026052.291	2785961.932	3568234.329	29306862.91	5898026.158	4975965.71	10078326.19	151864.868	34920871.31	21360511.18	74885644.45	20903382.44	916228.3457	3679538.99	0
736	M154T66	154.0703869	66.3107873	0	413137.0939	371722.5567	0	0	0	379803.1466	1997108.63	2425193.318	0	2434584.952	0	207368.4233	0	1202396.987	0	765250.4647	0	524035.9686	1482340.487	3398313.497	590956.4126	1926142.867	0	0
737	M154T325	154.0862665	324.7864291	2898901.426	2301302.033	3031466.712	5474926.522	3977947.519	5914408.785	2651666.413	3906599.159	6938426.934	1235703.825	8003606.348	1496783.181	3037431.037	5844412.184	2956632.683	719866.5775	4481910.408	2232208.806	4148109.636	1952336.618	5130072.587	3911937.293	1182281.996	1466719.788	0
738	M154T257	154.0862485	257.0344345	0	366402.6816	0	5080863.833	839467.1888	2990039.76	1206639.459	0	3386739.628	4585195.59	6538222.723	485998.5094	0	7463338.047	5313365.333	0	0	132764.0556	166080.5972	0	4863407.592	437357.1325	162089.3476	91452.28235	0
739	M154T361	154.0863641	361.2253718	0	2779494.03	0	1508452.097	298423.2944	1729337.347	145540.6332	859673.0013	6216186.438	0	7260529.694	0	178999.7228	4960071.061	382079.4181	179639.3291	194479.4483	186805.0572	756692.5918	0	1359757.895	650788.3474	0	902451.1895	0
740	M154T66_2	154.0887138	65.93954313	314862.5635	0	355643.9964	0	649364.0771	0	1019838.382	1115461.483	478098.1834	0	2586915.46	0	0	2842541	1662568.594	266478.9541	0	0	1565299.141	961637.0108	1707209.014	588170.1404	2650538.83	0	0
741	M155T52	154.8807251	51.63050586	36044252.27	0	549302.9514	7888102.276	17823837.35	10336192.74	11796391.75	6909728.329	915125.5686	10206382.01	7442745.686	412282.021	239160.9451	5840786.458	10757336.2	12826773.61	17260956.95	12645220.38	14455844.8	12384186.25	0	18718628.36	13739759.72	2364663.912	790822.0708
